shuffle_level,seed,mse_per_dim,pixel_variance,bits_per_pixel,bits_per_patch,total_patches,structural_bonus_total,delta_from_original,n_params,train_time_hrs
original,42,0.024968885358174642,0.07184276,0.7623556767081576,146.37228992796628,150000,-0.7623556767081576,0.0,14353728,0.08594694130950505
quadrant_shuffled,42,0.046574115999009874,0.07184272,0.31265681901255127,60.03010925040984,150000,-0.7623556767081576,-0.44969885769560636,14353728,0.08594694130950505
patch_shuffled,42,0.07949850133260092,0.071842745,0.0,0.0,150000,-0.7623556767081576,-0.7623556767081576,14353728,0.08594694130950505
row_shuffled,42,0.07099252430386013,0.07184275,0.008587754857658147,1.6488489326703641,150000,-0.7623556767081576,-0.7537679218504995,14353728,0.08594694130950505
pixel_shuffled,42,0.07991046207004124,0.071842745,0.0,0.0,150000,-0.7623556767081576,-0.7623556767081576,14353728,0.08594694130950505
